Команда (HEX);Размер параметра команды (DEC);Тип параметра команды;Значения параметра команды (DEC);Описание команды;Размер параметра ответа (DEC);Тип параметра ответа;Значения параметра ответа (DEC);Описание ответа;Комментарии
;;;1;2D штрих-код;;;;;
;2;number;;Тип 2D кода;;;;;
;;;6;QR-Code;;;;;
;;;8;PDF417;;;;;
;2;number;;Масштаб;;;;;
;1;bitfield;;Флаг 1;;;;;
;;;;Бит 0 - Тип штрих-кода;;;;;
;;;;Бит 1 - Код;;;;;
;;;;Бит 2 - Контрольная сумма;;;;;
;;;;Бит 3 - ;;;;;
;;;;Бит 4 - ;;;;;
;;;;Бит 5 - ;;;;;
;;;;Бит 6 - ;;;;;
;;;;Бит 7 - ;;;;;
;1;bitfield;;Флаг 2;;;;;
;;;;Бит 0 - ;;;;;
;;;;Бит 1 - ;;;;;
;;;;Бит 2 - ;;;;;
;;;;Бит 3 - ;;;;;
;;;;Бит 4 - ;;;;;
;;;;Бит 5 - ;;;;;
;;;;Бит 6 - ;;;;;
;;;;Бит 7 - ;;;;;
;?;string;;Текст;;;;;
df;;;;Закрыть нефискальный документ;;;;;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;bitfield;;Флаг закрытия 1;1;number;;порядковый номер оператора;
;;;;Бит 0 - не используется [0];;;;;
;;;;Бит 1 - Не печатать заводской номер ККТ;;;;;
;;;;Бит 2 - Не отрезать документ;;;;;
;;;;Бит 3 - не используется [0];;;;;
;;;;Бит 4 - не используется [0];;;;;
;;;;Бит 5 - не используется [0];;;;;
;;;;Бит 6 - не используется [0];;;;;
;;;;Бит 7 - не используется [0];;;;;
;1;bitfield;;Флаг закрытия 2;;;;;
;;;;Бит 0 - не используется [0];;;;;
;;;;Бит 1 - не используется [0];;;;;
;;;;Бит 2 - не используется [0];;;;;
;;;;Бит 3 - не используется [0];;;;;
;;;;Бит 4 - не используется [0];;;;;
;;;;Бит 5 - не используется [0];;;;;
;;;;Бит 6 - не используется [0];;;;;
;;;;Бит 7 - не используется [0];;;;;
e0;;;;Запрос статуса ФН;;;;Запрос статуса ФН;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;1;number;;состояние фазы жизни;
;;;;;1;number;;текущий документ;
;;;;;1;number;;данные документа;
;;;;;1;number;;состояние смены;
;;;;;1;number;;Флаги и предупреждения;
;;;;;5;string;;дата и время;
;;;;;16;string;;Номер ФН;
;;;;;4;string;;номер последнего ФД;
e1;;;;Запрос заводского номера ФН;;;;Запрос заводского номера ФН;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;16;string;;Заводской номер ФН;
e2;;;;Запрос срока действия ФН;;;;Запрос срока действия ФН;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;1;number;;год окончания срока действия ФН;
;;;;;1;number;;месяц окончания срока действия ФН;
;;;;;1;number;;день окончания срока действия ФН;
;;;;;1;number;;Оставшееся количество регистраций (перерегистраций);
;;;;;1;number;;Количество выполненных регистраций (перерегистраций);
e3;;;;Запрос версии ФН;;;;Запрос версии ФН;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;16;string;;версия программного обеспечения ФН;
;;;;;1;number;;Тип программного обеспечения ФН;
e4;;;;Получить от ФН статус ОФД;;;;Получить от ФН статус ОФД;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;1;number;;статус обмена данными с ОФД;
;;;;;1;number;;статус чтения сообщений от ОФД;
;;;;;2;number;;количество сообщений для передачи в ОФД;
;;;;;4;number;;номер документа для ОФД, первого в очереди;
;;;;;5;data;;дата и время документа для ОФД, первого в очереди;
e5;;;;Получить фискальный документ по номеру из ФН;;;;Получить фискальный документ по номеру из ФН;
;4;password;;пароль оператора;2;error#;;код ошибки;
;4;number;;Номер фискального документа;1;number;;порядковый номер оператора;
;;;;;1;number;;тип документа;
;;;;;1;number;;получено ли подтверждение от ОФД;
;;;;;?;data;;данные фискального документа;
e6;;;;Получить подтверждение ОФД для ФД из ФН;;;;Получить подтверждение ОФД для ФД из ФН;
;4;password;;пароль оператора;2;error#;;код ошибки;
;4;number;;Номер фискального документа;1;number;;порядковый номер оператора;
;;;;;?;data;;Подтверждение ОФД о получении ФД;
e7;;;;Запрос количества ФД, для которых не получено подтверждение ОФД из ФН;;;;Запрос количества ФД, для которых не получено подтверждение ОФД из ФН;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;2;number;;Количество неподтвержденных ОФД фискальных документов ;
e8;;;;Запрос итогов фискализации из ФН;;;;Запрос итогов фискализации из ФН;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;number;;Номер регистрации;1;number;;порядковый номер оператора;
;;;;;5;data;;дата и время;
;;;;;12;string;;ИНН;
;;;;;20;string;;регистрационный номер ККТ;
;;;;;1;number;;код налогообложения;
;;;;;1;number;;режим работы;
;;;;;1;number;;причина перерегистрации;
;;;;;4;number;;номер фискального документа;
;;;;;4;number;;фискальный признак;
e9;;;;Запрос TLV параметра фискализации из ФН;;;;Запрос TLV параметра фискализации из ФН;
;4;password;;пароль оператора;2;error#;;код ошибки;
;1;number;;Номер регистрации ;1;number;;порядковый номер оператора;
;2;data;;TLV параметр;?;data;;TLV параметр;
ea;;;;Запрос фискального документа в TLV формате из ФН;;;;Запрос фискального документа в TLV формате из ФН;
;4;password;;пароль оператора;2;error#;;код ошибки;
;4;number;;Номер фискального документа;1;number;;порядковый номер оператора;
;;;;;2;number;;Тип фискального документа (тип STLV);
;;;;;2;number;;Длина фискального документа;
;;;;;?;data;;??? Фискальный документ;
eb;;;;Чтение TLV структуры фискального документа из ФН;;;;Чтение TLV структуры фискального документа из ФН;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;?;data;;TLV(STLV) данные фискального документа;
ec;;;;Запрос параметров текущей смены из ФН;;;;Запрос параметров текущей смены из ФН;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;1;number;;Состояние смены;
;;;;;2;number;;Номер смены;
;;;;;2;number;;Номер чека;
f0;;;;Запрос актуальных времени и даты;;;;Запрос актуальных времени и даты;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;1;number;;День;
;;;;;1;number;;Месяц;
;;;;;1;number;;Год;
;;;;;1;number;;Час;
;;;;;1;number;;Минута;
f1;;;;Запрос статуса ККТ;;;;Запрос статуса ККТ;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;1;bitfield;;Байт статуса 1;
;;;;;;;;Бит 0 - Открытие крышки корпуса [1 - открыта, 0 - закрыта];
;;;;;;;;Бит 1 - Наличие бумаги [1 - нет, 0 - есть];
;;;;;;;;Бит 2 - Близость окончания бумаги [1 - скоро закончится, 0 - не скоро закончится];
;;;;;;;;Бит 3 - Ошибка отрезчика [1 - ошибка, 0 - нет ошибки];
;;;;;;;;Бит 4 - Виртуальная близость окончания бумаги [1 - скоро закончится, 0 - не скоро закончится];
;;;;;;;;Бит 5 - ;
;;;;;;;;Бит 6 - ;
;;;;;;;;Бит 7 - ;
;;;;;1;bitfield;;Байт статуса 2;
;;;;;;;;Бит 0 - Присутствие ФН [1 - отсутствует, 0 - присутствует];
;;;;;;;;Бит 1 - Открытие смены [1 - не открыта, 0 - открыта];
;;;;;;;;Бит 2 - Установка даты [1 - установлена, 0 - не установлена];
;;;;;;;;Бит 3 - ФН ОК [1 - не ОК, 0 - ОК];
;;;;;;;;Бит 4 - Необходим сброс [1 - нужен, 0 - не нужен];
;;;;;;;;Бит 5 - Установлен джампер инициализации [1 - установлен, 0 - не установлен];
;;;;;;;;Бит 6 - Заводской номер ККТ [1 - установлен, 0 - не установлен];
